"usStatelocation","Freq"
"alabama",62
"arizona",72
"arkansas",75
"california",608
"colorado",98
"connecticut",66
"delaware",31
"district of columbia",112
"florida",218
"georgia",241
"idaho",22
"illinois",231
"indiana",90
"iowa",60
"kansas",604
"kentucky",147
"louisiana",97
"maine",23
"maryland",117
"massachusetts",177
"michigan",155
"minnesota",117
"mississippi",35
"missouri",152
"montana",4
"nebraska",41
"nevada",70
"new hampshire",14
"new jersey",127
"new mexico",29
"new york",222
"north carolina",254
"north dakota",18
"ohio",239
"oklahoma",112
"oregon",142
"pennsylvania",257
"rhode island",14
"south carolina",54
"south dakota",19
"tennessee",139
"texas",554
"utah",45
"vermont",12
"virginia",169
"washington",87
"west virginia",95
"wisconsin",102
"wyoming",17
